Branch_ID,Dealer_ID,Model_ID,Revenue,Units_Sold,Date_ID,Day,Month,Year,BranchName,DealerName,Product_Name, model_category,Revenye_per_unit
BR0028,DLR0130,Hon-M70,8355774,3,DT00016,30,4,2017,Aixam-Mega (including Arola) Motors,Micro Motors,Honda,Hon,2785258.0
BR0029,DLR0110,Che-M40,6158643,1,DT00016,2,1,2017,Aixam-Mega (including Arola) Motors,Lincoln Motors,Chevrolet,Che,6158643.0
BR0031,DLR0004,BMW-M4,18118773,3,DT00017,4,1,2017,Alfa Romeo Motors,Alfa Romeo Motors,BMW,BMW,6039591.0
BR0031,DLR0071,Vol-M258,10067596,2,DT00017,11,5,2017,Alfa Romeo Motors,Ginetta Motors,Volkswagen,Vol,5033798.0
BR0032,DLR0251,MG-M251,8443706,1,DT00018,8,9,2017,Alfa Romeo Motors,Alfa Romeo Motors,MG,MG,8443706.0
BR0033,DLR0231,For-M221,4590128,1,DT00018,13,5,2017,Alfa Romeo Motors,Atlantic Motor Company,Ford,For,4590128.0
BR0035,DLR0191,Hyu-M161,4225644,2,DT00019,19,9,2017,Alfa Romeo Motors,Tata Motors,Hyundai,Hyu,2112822.0
BR0037,DLR0151,Toy-M101,7525079,1,DT00020,27,8,2017,Alfa Romeo Motors,Peel Motors,Toyota,Toy,7525079.0
BR0038,DLR0131,Hon-M71,8074050,2,DT00022,1,5,2017,Alfa Romeo Motors,Mini Motors,Honda,Hon,4037025.0
BR0040,DLR0091,Jee-M11,4058632,1,DT00023,7,9,2017,Alfa Romeo Motors,Invicta Motors,Jeep,Jee,4058632.0
BR0041,DLR0005,BMW-M5,12322500,3,DT00023,5,1,2017,Alpine Motors,Alpine Motors,BMW,BMW,4107500.0
BR0041,DLR0072,Vol-M259,13055810,2,DT00024,12,5,2017,Alpine Motors,Glas Motors,Volkswagen,Vol,6527905.0
BR0042,DLR0252,MG-M252,5616461,1,DT00024,9,9,2017,Alpine Motors,Alpine Motors,MG,MG,5616461.0
BR0043,DLR0232,For-M222,18031408,2,DT00025,14,5,2017,Alpine Motors,2008 NRHP-listed,Ford,For,9015704.0
BR0044,DLR0212,Tat-M192,4061400,3,DT00026,16,1,2017,Alpine Motors,,Tata,Tat,1353800.0
BR0045,DLR0192,Hyu-M162,23199300,3,DT00026,20,9,2017,Alpine Motors,Tatra Motors,Hyundai,Hyu,7733100.0
BR0047,DLR0152,Toy-M102,3120075,1,DT00027,28,8,2017,Alpine Motors,Perodua Motors,Toyota,Toy,3120075.0
BR0048,DLR0132,Hyu-M72,11630901,3,DT00028,2,5,2017,Alpine Motors,Mitsubishi Motors,Hyundai,Hyu,3876967.0
BR0049,DLR0112,Che-M42,28080780,3,DT00028,4,1,2017,Alpine Motors,LTI Motors,Chevrolet,Che,9360260.0
BR0050,DLR0092,Jee-M12,17231670,3,DT00029,8,9,2017,Alpine Motors,Isdera Motors,Jeep,Jee,5743890.0
BR0051,DLR0006,Mer-M6,1196976,1,DT00030,6,1,2017,Alvis Motors,Alvis Motors,Mercedes-Benz,Mer,1196976.0
BR0051,DLR0073,Vol-M260,2224368,1,DT00031,13,5,2017,Alvis Motors,GMC Motors,Volkswagen,Vol,2224368.0
BR0052,DLR0253,Jee-M253,16890826,2,DT00031,10,9,2017,Alvis Motors,Alvis Motors,Jeep,Jee,8445413.0
BR0053,DLR0233,For-M223,7422324,1,DT00032,15,5,2017,Alvis Motors,Blankinship Motor Company Building,Ford,For,7422324.0
BR0054,DLR0213,Tat-M193,5594044,1,DT00032,17,1,2017,Alvis Motors,DKW Motors,Tata,Tat,5594044.0
BR0055,DLR0193,Hyu-M163,309955,1,DT00033,21,9,2017,Alvis Motors,Tazzari Motors,Hyundai,Hyu,309955.0
BR0057,DLR0153,Toy-M103,3735254,2,DT00033,29,8,2017,Alvis Motors,Peugeot Motors,Toyota,Toy,1867627.0
BR0058,DLR0133,Hyu-M73,8736224,1,DT00034,3,5,2017,Alvis Motors,Monica Motors,Hyundai,Hyu,8736224.0
BR0059,DLR0113,Che-M43,29476512,3,DT00034,5,1,2017,Alvis Motors,LuAZ Motors,Chevrolet,Che,9825504.0
BR0060,DLR0093,Jee-M13,2824317,1,DT00035,9,9,2017,Alvis Motors,Iso Motors,Jeep,Jee,2824317.0
BR0061,DLR0007,Mer-M7,28254609,3,DT00035,7,1,2017,"AMC, Eagle Motors","AMC, Eagle Motors",Mercedes-Benz,Mer,9418203.0
BR0061,DLR0074,Nis-M261,11270580,3,DT00036,14,5,2017,"AMC, Eagle Motors",GTA Spano Motors,Nissan,Nis,3756860.0
BR0064,DLR0214,Tat-M194,6429308,1,DT00037,18,1,2017,"AMC, Eagle Motors",Horch Motors,Tata,Tat,6429308.0
BR0065,DLR0194,Hyu-M164,9045495,3,DT00038,22,9,2017,"AMC, Eagle Motors",Tesla Motors,Hyundai,Hyu,3015165.0
BR0066,DLR0169,Ren-M129,693559,1,DT00038,21,5,2017,Acura Motors,SAIC Motor Motors,Renault,Ren,693559.0
BR0067,DLR0154,Toy-M104,26303979,3,DT00039,30,8,2017,"AMC, Eagle Motors",PGO Motors,Toyota,Toy,8767993.0
BR0068,DLR0134,Hyu-M74,5305198,2,DT00039,4,5,2017,"AMC, Eagle Motors",Monteverdi Motors,Hyundai,Hyu,2652599.0
BR0069,DLR0114,Che-M44,6723250,1,DT00040,6,1,2017,"AMC, Eagle Motors",Lynx Motors,Chevrolet,Che,6723250.0
BR0070,DLR0094,Ram-M14,5887052,2,DT00040,10,9,2017,"AMC, Eagle Motors",Isotta Fraschini Motors,Ram,Ram,2943526.0
BR0071,DLR0008,Mer-M8,6083151,1,DT00042,8,1,2017,Anadol Motors,Anadol Motors,Mercedes-Benz,Mer,6083151.0
BR0071,DLR0075,Nis-M262,18784710,3,DT00042,15,5,2017,Anadol Motors,Gumpert Motors,Nissan,Nis,6261570.0
BR0072,DLR0255,Vol-M255,5289426,2,DT00043,12,9,2017,Anadol Motors,Anadol Motors,Volkswagen,Vol,2644713.0
BR0073,DLR0235,For-M225,4014205,1,DT00044,17,5,2017,Anadol Motors,Buick Automobile Company Building,Ford,For,4014205.0
BR0074,DLR0215,Toy-M195,3163004,2,DT00045,19,1,2017,Anadol Motors,Wanderer Motors,Toyota,Toy,1581502.0
BR0075,DLR0195,Mah-M165,21878175,3,DT00046,23,9,2017,Anadol Motors,Tornado Motors,Mahindra,Mah,7292725.0
BR0077,DLR0155,Toy-M105,9867107,1,DT00046,31,8,2017,Anadol Motors,Piaggio Motors,Toyota,Toy,9867107.0
BR0078,DLR0135,Hyu-M75,4583883,3,DT00047,5,5,2017,Anadol Motors,Morgan Motors,Hyundai,Hyu,1527961.0
BR0080,DLR0095,Ram-M15,14383990,2,DT00048,11,9,2017,Anadol Motors,Isuzu Motors,Ram,Ram,7191995.0
BR0081,DLR0009,Dod-M9,24665256,3,DT00048,9,1,2017,Ariel Motors,Ariel Motors,Dodge,Dod,8221752.0
BR0081,DLR0076,Nis-M263,2354637,3,DT00049,16,5,2017,Ariel Motors,Healey Motors,Nissan,Nis,784879.0
BR0082,DLR0256,Vol-M256,2563134,3,DT00049,13,9,2017,Ariel Motors,Ariel Motors,Volkswagen,Vol,854378.0
BR0083,DLR0236,For-M226,5756780,1,DT00050,18,5,2017,Ariel Motors,Cadillac Automobile Company Building,Ford,For,5756780.0
BR0084,DLR0216,Toy-M196,4317585,1,DT00050,20,1,2017,Ariel Motors,Maybach  Motors,Toyota,Toy,4317585.0
BR0085,DLR0196,Mah-M166,11402294,2,DT00051,24,9,2017,Ariel Motors,Toyota Motors,Mahindra,Mah,5701147.0
BR0087,DLR0156,Toy-M106,17859966,3,DT00051,1,9,2017,Ariel Motors,Plymouth Motors,Toyota,Toy,5953322.0
BR0089,DLR0116,Che-M46,25901943,3,DT00052,8,1,2017,Ariel Motors,Marcos Motors,Chevrolet,Che,8633981.0
BR0090,DLR0096,For-M16,299478,1,DT00053,12,9,2017,Ariel Motors,Iveco Motors,Ford,For,299478.0
BR0092,DLR0257,Vol-M257,11502266,2,DT00054,14,9,2017,ARO Motors,ARO Motors,Volkswagen,Vol,5751133.0
BR0094,DLR0217,Toy-M197,4961142,3,DT00054,21,1,2017,ARO Motors,Izh  Motors,Toyota,Toy,1653714.0
BR0095,DLR0197,Mah-M167,6061880,1,DT00055,25,9,2017,ARO Motors,Toyota India Motors,Mahindra,Mah,6061880.0
BR0098,DLR0137,Kia-M77,18863226,3,DT00056,7,5,2017,ARO Motors,Nash Motors,Kia,Kia,6287742.0
BR0101,DLR0011,Jee-M11,8534145,3,DT00056,11,1,2017,Artega Motors,Artega Motors,Jeep,Jee,2844715.0
BR0102,DLR0258,Vol-M258,12618398,2,DT00057,15,9,2017,Artega Motors,,Volkswagen,Vol,6309199.0
BR0103,DLR0238,Aud-M228,22293669,3,DT00057,20,5,2017,Artega Motors,Cass Motor Sales,Audi,Aud,7431223.0
BR0104,DLR0218,Toy-M198,1994377,1,DT00058,22,1,2017,Artega Motors,Lagonda  Motors,Toyota,Toy,1994377.0
BR0108,DLR0138,Kia-M78,11722286,2,DT00059,8,5,2017,Artega Motors,Naza Motors,Kia,Kia,5861143.0
BR0111,DLR0012,Jee-M12,24760575,3,DT00060,12,1,2017,Asia Motors Motors,Asia Motors Motors,Jeep,Jee,8253525.0
BR0112,DLR0259,Vol-M259,10732148,2,DT00060,16,9,2017,Asia Motors Motors,Asia Motors Motors,Volkswagen,Vol,5366074.0
BR0114,DLR0219,Toy-M199,7666706,1,DT00061,23,1,2017,Asia Motors Motors,MG  Motors,Toyota,Toy,7666706.0
BR0115,DLR0199,Mah-M169,675100,2,DT00062,27,9,2017,Asia Motors Motors,TVR Motors,Mahindra,Mah,337550.0
BR0117,DLR0159,Vol-M109,2968140,3,DT00062,4,9,2017,Asia Motors Motors,Porsche Motors,Volkswagen,Vol,989380.0
BR0118,DLR0139,Inf-M79,8885904,3,DT00063,9,5,2017,Asia Motors Motors,Nissan Motors,Infiniti,Inf,2961968.0
BR0119,DLR0119,Che-M49,21885834,3,DT00063,11,1,2017,Asia Motors Motors,Maserati Motors,Chevrolet,Che,7295278.0
BR0120,DLR0099,For-M19,8169852,1,DT00064,15,9,2017,Asia Motors Motors,Jensen Motors,Ford,For,8169852.0
BR0121,DLR0013,Jee-M13,3450696,1,DT00065,13,1,2017,Aston Martin Motors,Aston Martin Motors,Jeep,Jee,3450696.0
BR0121,DLR0080,Nis-M267,5421046,2,DT00065,20,5,2017,Aston Martin Motors,Hindustan Motors,Nissan,Nis,2710523.0
BR0122,DLR0260,Vol-M260,10113618,3,DT00066,17,9,2017,Aston Martin Motors,Aston Martin Motors,Volkswagen,Vol,3371206.0
BR0123,DLR0240,Aud-M230,3382344,2,DT00066,22,5,2017,Aston Martin Motors,Clemens Automobile Company Building,Audi,Aud,1691172.0
BR0125,DLR0200,Mah-M170,21087120,3,DT00067,28,9,2017,Aston Martin Motors,UAZ Motors,Mahindra,Mah,7029040.0
BR0126,DLR0170,Ren-M130,8445560,2,DT00067,22,5,2017,Aixam-Mega (including Arola) Motors,Saleen Motors,Renault,Ren,4222780.0
BR0127,DLR0160,Vol-M110,20375646,3,DT00068,5,9,2017,Aston Martin Motors,Premier Motors,Volvo,Vol,6791882.0
BR0128,DLR0140,Nis-M80,5608551,3,DT00069,10,5,2017,Aston Martin Motors,Nissan India Motors,Nissan,Nis,1869517.0
BR0129,DLR0120,Che-M50,15086781,3,DT00069,12,1,2017,Aston Martin Motors,Mastretta Motors,Chevrolet,Che,5028927.0
BR0130,DLR0100,For-M20,3852248,1,DT00070,16,9,2017,Aston Martin Motors,JPX Motors,Ford,For,3852248.0
BR0131,DLR0081,Nis-M268,28034733,3,DT00071,21,5,2017,Audi Motors,Holden Motors,Nissan,Nis,9344911.0
BR0135,DLR0201,Mah-M171,6932140,1,DT00071,29,9,2017,Audi Motors,Vauxhall Motors,Mahindra,Mah,6932140.0
BR0138,DLR0141,Nis-M81,2279715,3,DT00072,11,5,2017,Audi Motors,Noble Motors,Nissan,Nis,759905.0
BR0139,DLR0121,Che-M51,15082984,2,DT00072,13,1,2017,Audi Motors,"Matra (including Deutsch-Bonnet, René Bonnet) Motors",Chevrolet,Che,7541492.0
BR0140,DLR0101,For-M21,1614954,3,DT00073,17,9,2017,Audi Motors,Kia Motors,Ford,For,538318.0
BR0141,DLR0082,Nis-M269,17522592,2,DT00073,22,5,2017,Autobianchi Motors,Honda Motors,Nissan,Nis,8761296.0
BR0143,DLR0242,Aud-M232,15425984,2,DT00074,24,5,2017,Autobianchi Motors,H Street Playhouse,Audi,Aud,7712992.0
BR0144,DLR0222,Toy-M202,6200183,1,DT00074,26,1,2017,Autobianchi Motors,Riley  Motors,Toyota,Toy,6200183.0
BR0145,DLR0202,Mah-M172,9216580,2,DT00075,30,9,2017,Autobianchi Motors,Venturi Motors,Mahindra,Mah,4608290.0
BR0151,DLR0016,For-M16,20974905,3,DT00076,16,1,2017,Auto-Union Motors,Auto-Union Motors,Ford,For,6991635.0
BR0151,DLR0083,Nis-M270,25901364,3,DT00076,23,5,2017,Auto-Union Motors,Honda India Motors,Nissan,Nis,8633788.0
BR0152,DLR0263,Nis-M263,13123846,2,DT00078,20,9,2017,Auto-Union Motors,Auto-Union Motors,Nissan,Nis,6561923.0
BR0153,DLR0243,Aud-M233,7178971,1,DT00078,25,5,2017,Auto-Union Motors,Howard Motor Company Building,Audi,Aud,7178971.0
BR0154,DLR0223,Toy-M203,10761116,2,DT00079,27,1,2017,Auto-Union Motors,Wolseley  Motors,Toyota,Toy,5380558.0
BR0158,DLR0143,Nis-M83,13220313,3,DT00079,13,5,2017,Auto-Union Motors,Oldsmobile Motors,Nissan,Nis,4406771.0
BR0159,DLR0123,GMC-M53,2964017,1,DT00080,15,1,2017,Auto-Union Motors,Mazzanti Motors,GMC,GMC,2964017.0
BR0160,DLR0103,For-M23,19987149,3,DT00080,19,9,2017,Auto-Union Motors,KTM Motors,Ford,For,6662383.0
BR0161,DLR0017,For-M17,2221530,1,DT00081,17,1,2017,Auverland Motors,Auverland Motors,Ford,For,2221530.0
BR0163,DLR0244,Aud-M234,3751186,1,DT00082,26,5,2017,Auverland Motors,Hupmobile Building,Audi,Aud,3751186.0
BR0164,DLR0224,Toy-M204,4376587,1,DT00082,28,1,2017,Auverland Motors,Standard  Motors,Toyota,Toy,4376587.0
BR0165,DLR0204,Mah-M174,281016,2,DT00083,2,10,2017,Auverland Motors,Volkswagen do Brasil Motors,Mahindra,Mah,140508.0
BR0168,DLR0144,Nis-M84,19669918,2,DT00084,14,5,2017,Auverland Motors,,Nissan,Nis,9834959.0
BR0169,DLR0124,GMC-M54,25546332,3,DT00085,16,1,2017,Auverland Motors,McLaren Motors,GMC,GMC,8515444.0
BR0170,DLR0104,For-M24,288894,1,DT00086,20,9,2017,Auverland Motors,Lada Motors,Ford,For,288894.0
BR0171,DLR0018,For-M18,11329482,3,DT00086,18,1,2017,Bentley Motors,Bentley Motors,Ford,For,3776494.0
BR0172,DLR0265,Nis-M265,18898203,3,DT00087,22,9,2017,Bentley Motors,Bentley Motors,Nissan,Nis,6299401.0
BR0173,DLR0245,Aud-M235,8140664,2,DT00087,27,5,2017,Bentley Motors,Jennings Ford Automobile Dealership,Audi,Aud,4070332.0
BR0175,DLR0205,Mah-M175,12526704,2,DT00088,3,10,2017,Bentley Motors,Volkswagen South Africa Motors,Mahindra,Mah,6263352.0
BR0179,DLR0125,GMC-M55,9626946,1,DT00088,17,1,2017,Bentley Motors,Mercedes-Benz (including Maybach) Motors,GMC,GMC,9626946.0
BR0180,DLR0105,For-M25,8308755,3,DT00089,21,9,2017,Bentley Motors,Lamborghini Motors,Ford,For,2769585.0
BR0181,DLR0019,For-M19,7053423,3,DT00089,19,1,2017,Bitter Motors,Bitter Motors,Ford,For,2351141.0
BR0181,DLR0086,Sko-M273,7915343,1,DT00090,26,5,2017,Bitter Motors,Hummer Motors,Skoda,Sko,7915343.0
BR0182,DLR0266,Nis-M266,5868139,1,DT00090,23,9,2017,Bitter Motors,Bitter Motors,Nissan,Nis,5868139.0
BR0183,DLR0246,Aud-M236,340182,2,DT00091,28,5,2017,Bitter Motors,Jones Motor Company,Audi,Aud,170091.0
BR0185,DLR0206,Mah-M176,2861778,2,DT00091,4,10,2017,Bitter Motors,Volvo Motors,Mahindra,Mah,1430889.0
BR0186,DLR0171,Ren-M131,7078128,1,DT00092,23,5,2017,Alfa Romeo Motors,Samsung Motors,Renault,Ren,7078128.0
BR0188,DLR0146,Nis-M86,4681233,1,DT00092,16,5,2017,Bitter Motors,Packard Motors,Nissan,Nis,4681233.0
BR0189,DLR0126,GMC-M56,9127452,3,DT00093,18,1,2017,Bitter Motors,Mercury Motors,GMC,GMC,3042484.0
BR0191,DLR0020,For-M20,28232232,3,DT00093,20,1,2017,BMW Motors,BMW Motors,Ford,For,9410744.0
BR0191,DLR0087,Sko-M274,24183663,3,DT00094,27,5,2017,BMW Motors,Hyundai Motors,Skoda,Sko,8061221.0
BR0192,DLR0267,Nis-M267,4579461,3,DT00094,24,9,2017,BMW Motors,BMW Motors,Nissan,Nis,1526487.0
BR0193,DLR0247,Aud-M237,11559954,3,DT00095,29,5,2017,BMW Motors,Kindel Building,Audi,Aud,3853318.0
BR0194,DLR0227,Ren-M207,6535383,3,DT00095,31,1,2017,BMW Motors,Ramani Motors,Renault,Ren,2178461.0
BR0195,DLR0207,Mah-M177,4392538,2,DT00096,5,10,2017,BMW Motors,Westfield Motors,Mahindra,Mah,2196269.0
BR0197,DLR0167,Fia-M117,725867,1,DT00097,12,9,2017,BMW Motors,Rolls-Royce Motors,Fiat,Fia,725867.0
BR0198,DLR0147,Nis-M87,2827664,2,DT00097,17,5,2017,BMW Motors,Pagani Motors,Nissan,Nis,1413832.0
BR0199,DLR0127,GMC-M57,9689140,1,DT00098,19,1,2017,BMW Motors,Merkur Motors,GMC,GMC,9689140.0
BR0200,DLR0107,Lin-M27,16533070,2,DT00098,23,9,2017,BMW Motors,Land Rover Motors,Lincoln,Lin,8266535.0
BR0201,DLR0088,Mit-M275,847952,2,DT00099,28,5,2017,Bond Motors,"IFA (including Trabant, Wartburg, Barkas) Motors",Mitsubishi,Mit,423976.0
BR0202,DLR0001,Nis-M268,12224250,2,DT00099,25,9,2017,Bond Motors,AC Cars Motors,Nissan,Nis,6112125.0
BR0203,DLR0248,Aud-M238,8711628,3,DT00101,30,5,2017,Bond Motors,AC Cars Motors,Audi,Aud,2903876.0
BR0204,DLR0228,Ren-M208,20604021,3,DT00102,1,2,2017,Bond Motors,Deccan Motors,Renault,Ren,6868007.0
BR0205,DLR0208,Mah-M178,22278675,3,DT00103,6,10,2017,Bond Motors,Wiesmann Motors,Mahindra,Mah,7426225.0
BR0208,DLR0148,Nis-M88,8383410,1,DT00103,18,5,2017,Bond Motors,Panhard Motors,Nissan,Nis,8383410.0
BR0211,DLR0022,For-M22,5440414,1,DT00105,22,1,2017,Borgward (including Goliath and Lloyd) Motors,Borgward (including Goliath and Lloyd) Motors,Ford,For,5440414.0
BR0211,DLR0089,Mit-M276,2887860,1,DT00105,29,5,2017,Borgward (including Goliath and Lloyd) Motors,Infiniti Motors,Mitsubishi,Mit,2887860.0
BR0212,DLR0002,Nis-M269,9621332,2,DT00106,26,9,2017,Borgward (including Goliath and Lloyd) Motors,Acura Motors,Nissan,Nis,4810666.0
BR0213,DLR0249,Aud-M239,9894833,1,DT00106,31,5,2017,Borgward (including Goliath and Lloyd) Motors,Acura Motors,Audi,Aud,9894833.0
BR0214,DLR0229,Ren-M209,7758912,1,DT00107,2,2,2017,Borgward (including Goliath and Lloyd) Motors,Herald Motors,Renault,Ren,7758912.0
BR0215,DLR0209,Tat-M179,11540160,2,DT00108,7,10,2017,Borgward (including Goliath and Lloyd) Motors,Zastava Motors,Tata,Tat,5770080.0
BR0217,DLR0169,For-M119,10376068,2,DT00108,14,9,2017,Borgward (including Goliath and Lloyd) Motors,SAIC Motor Motors,Ford,For,5188034.0
BR0218,DLR0149,Nis-M89,10046163,3,DT00110,19,5,2017,Borgward (including Goliath and Lloyd) Motors,Panoz Motors,Nissan,Nis,3348721.0
BR0219,DLR0129,Acu-M59,9612233,1,DT00111,21,1,2017,Borgward (including Goliath and Lloyd) Motors,Mia Motors,Acura,Acu,9612233.0
BR0220,DLR0109,Lin-M29,4380192,2,DT00111,25,9,2017,Borgward (including Goliath and Lloyd) Motors,Ligier Motors,Lincoln,Lin,2190096.0
BR0221,DLR0023,For-M23,4988693,1,DT00112,23,1,2017,Bristol Motors,Bristol Motors,Ford,For,4988693.0
BR0221,DLR0090,Mit-M277,24243636,3,DT00112,30,5,2017,Bristol Motors,,Mitsubishi,Mit,8081212.0
BR0222,DLR0003,Nis-M270,15758858,2,DT00113,27,9,2017,Bristol Motors,Aixam-Mega (including Arola) Motors,Nissan,Nis,7879429.0
BR0223,DLR0250,Aud-M240,4437937,1,DT00113,1,6,2017,Bristol Motors,Aixam-Mega (including Arola) Motors,Audi,Aud,4437937.0
BR0224,DLR0230,Ren-M210,12531735,3,DT00114,3,2,2017,Bristol Motors,Zion Automobils,Renault,Ren,4177245.0
BR0225,DLR0210,Tat-M180,17781882,3,DT00115,8,10,2017,Bristol Motors,ZAZ Motors,Tata,Tat,5927294.0
BR0227,DLR0170,Hon-M120,18432684,2,DT00116,15,9,2017,Bristol Motors,Saleen Motors,Honda,Hon,9216342.0
BR0228,DLR0150,Riv-M90,7783188,2,DT00117,20,5,2017,Bristol Motors,Panther Motors,Rivian,Riv,3891594.0
BR0229,DLR0130,Acu-M60,27840693,3,DT00118,22,1,2017,Bristol Motors,Micro Motors,Acura,Acu,9280231.0
BR0230,DLR0110,Lin-M30,27170463,3,DT00118,26,9,2017,Bristol Motors,Lincoln Motors,Lincoln,Lin,9056821.0
BR0231,DLR0024,For-M24,7900452,1,DT00119,24,1,2017,British Leyland Motors,British Leyland Motors,Ford,For,7900452.0
BR0232,DLR0004,Sko-M271,889446,3,DT00119,28,9,2017,British Leyland Motors,Alfa Romeo Motors,Skoda,Sko,296482.0
BR0234,DLR0231,Ren-M211,29018226,3,DT00120,4,2,2017,British Leyland Motors,Atlantic Motor Company,Renault,Ren,9672742.0
BR0235,DLR0211,Tat-M181,19005264,2,DT00121,9,10,2017,British Leyland Motors,ZIL Motors,Tata,Tat,9502632.0
BR0237,DLR0171,Mer-M121,1862934,2,DT00122,16,9,2017,British Leyland Motors,Samsung Motors,Mercedes-Benz,Mer,931467.0
BR0239,DLR0131,Acu-M61,7440984,1,DT00123,23,1,2017,British Leyland Motors,Mini Motors,Acura,Acu,7440984.0
BR0240,DLR0111,Bui-M31,6945984,3,DT00124,27,9,2017,British Leyland Motors,Lotus Motors,Buick,Bui,2315328.0
BR0243,DLR0252,BMW-M242,9296322,3,DT00124,3,6,2017,Austin-Healey Motors,Alpine Motors,BMW,BMW,3098774.0
BR0247,DLR0172,Mer-M122,29679627,3,DT00125,17,9,2017,Austin-Healey Motors,San Motors,Mercedes-Benz,Mer,9893209.0
BR0249,DLR0132,Acu-M62,6718044,3,DT00126,24,1,2017,Austin-Healey Motors,Mitsubishi Motors,Acura,Acu,2239348.0
BR0251,DLR0026,For-M26,6866014,2,DT00126,26,1,2017,"Austin, Rover Motors","Austin, Rover Motors",Ford,For,3433007.0
BR0252,DLR0006,Sko-M273,4256874,2,DT00127,30,9,2017,"Austin, Rover Motors",Alvis Motors,Skoda,Sko,2128437.0
BR0253,DLR0253,BMW-M243,6905276,2,DT00127,4,6,2017,"Austin, Rover Motors",Alvis Motors,BMW,BMW,3452638.0
BR0254,DLR0233,Kia-M213,13383333,3,DT00129,6,2,2017,"Austin, Rover Motors",Blankinship Motor Company Building,Kia,Kia,4461111.0
BR0255,DLR0213,Tat-M183,7421974,1,DT00130,11,10,2017,"Austin, Rover Motors",DKW Motors,Tata,Tat,7421974.0
BR0260,DLR0113,Cad-M33,9343340,1,DT00130,29,9,2017,"Austin, Rover Motors",LuAZ Motors,Cadillac,Cad,9343340.0
BR0262,DLR0007,Sko-M274,2574816,2,DT00131,1,10,2017,Bugatti Motors,"AMC, Eagle Motors",Skoda,Sko,1287408.0
BR0264,DLR0234,Kia-M214,6457305,1,DT00132,7,2,2017,Bugatti Motors,Bohn Motor Company Automobile Dealership,Kia,Kia,6457305.0
BR0265,DLR0214,Tat-M184,1879880,2,DT00133,12,10,2017,Bugatti Motors,Horch Motors,Tata,Tat,939940.0
